Game,Team,GF,GA,xGF,xGA
" 2025-03-08 - Maple Leafs 4, Avalanche 7",Toronto Maple Leafs,4,7,1.45,4.16
" 2025-03-10 - Maple Leafs 4, Utah HC 3",Toronto Maple Leafs,3,3,2.3,3.32
" 2025-03-13 - Panthers 3, Maple Leafs 2",Toronto Maple Leafs,2,3,2.61,2.21
" 2025-03-15 - Senators 4, Maple Leafs 2",Toronto Maple Leafs,2,4,2.24,3.18
" 2025-03-17 - Flames 2, Maple Leafs 6",Toronto Maple Leafs,6,2,3.28,2.4
" 2025-03-19 - Avalanche 1, Maple Leafs 2",Toronto Maple Leafs,2,1,3.84,3.33
" 2025-03-20 - Maple Leafs 4, Rangers 3",Toronto Maple Leafs,4,3,2.71,1.96
" 2025-03-22 - Maple Leafs 2, Predators 5",Toronto Maple Leafs,2,5,1.93,4.21
" 2025-03-25 - Flyers 2, Maple Leafs 7",Toronto Maple Leafs,7,2,1.68,2.73
" 2025-03-27 - Maple Leafs 5, Sharks 6",Toronto Maple Leafs,5,5,3.55,4.21
" 2025-03-29 - Maple Leafs 3, Kings 1",Toronto Maple Leafs,3,1,4.38,3.16
" 2025-03-30 - Maple Leafs 3, Ducks 2",Toronto Maple Leafs,3,2,3.88,3.65
" 2025-04-02 - Panthers 2, Maple Leafs 3",Toronto Maple Leafs,3,2,2.36,3.13
" 2025-04-05 - Blue Jackets 0, Maple Leafs 5",Toronto Maple Leafs,5,0,2.46,1.62
" 2025-04-08 - Maple Leafs 1, Panthers 3",Toronto Maple Leafs,1,3,1.2,3.92
" 2025-04-09 - Maple Leafs 4, Lightning 3",Toronto Maple Leafs,4,3,3.34,4.47
" 2025-04-12 - Canadiens 0, Maple Leafs 1",Toronto Maple Leafs,1,0,4.47,2.98
" 2025-04-13 - Maple Leafs 4, Hurricanes 1",Toronto Maple Leafs,4,1,2.61,4.5
" 2025-04-15 - Maple Leafs 4, Sabres 0",Toronto Maple Leafs,4,0,3.58,3.65
" 2025-04-17 - Red Wings 3, Maple Leafs 4",Toronto Maple Leafs,4,3,2.42,2.73
